order_id,source_product_name,matched_product_id,matched_product_name,match_method,score
IN_26021146,black pepper 200,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,1.0
IN_26021146,Clove 100,,,unmatched,0.5
IN_26021116,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021116,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021149,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021242,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021243,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021243,black pepper 250,0086756c-42f9-4410-9315-0451ba552e21,Black Pepper Kerala - 250,token_similarity,1.0
IN_26021213,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021286,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021286,black pepper 250,0086756c-42f9-4410-9315-0451ba552e21,Black Pepper Kerala - 250,token_similarity,1.0
IN_26021294,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021294,Clove 100,,,unmatched,0.5
IN_26021294,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021294,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021283,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021227,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021227,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021261,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021261,Clove 100,,,unmatched,0.5
IN_26021261,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021247,Clove 100,,,unmatched,0.5
IN_26021247,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021211,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021279,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021279,Clove 100,,,unmatched,0.5
IN_26021279,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021279,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021291,Cardamom 250g,,,unmatched,0.5
IN_26021291,clove 50,864b63c6-ea70-4608-92a9-d9aa47bada5c,Clove 50 gram,token_similarity,1.0
IN_26021291,Ceylon Cinnamon 50,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,0.6667
IN_26021276,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021276,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021329,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021329,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021320,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021320,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021321,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021337,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021337,Ceylon Cinnamon,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,1.0
IN_26021389,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021380,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021380,Clove 100,,,unmatched,0.5
